Rank,Player Name,Team,Position,Min,Max,STD Dev,Tier,Value,Notes
1,Christian McCaffrey,CAR,RB,1,1,0,1,High,
2,Saquon Barkley,NYG,RB,2,2,0,1,High,
3,Ezekiel Elliott,DAL,RB,3,5,0.8,1,High,Handcuff is Tony Pollard.
4,Alvin Kamara,NO,RB,3,6,1.02,1,Good,Limited goal-line usage with Taysom Hill still stealing TDs.  Handcuff is Latavius Murray.
5,Derrick Henry,TEN,RB,5,7,0.75,2,Good,Limited receiving production but high rushing workload.
6,Clyde Edwards-Helaire,KC,RB,4,10,1.94,2,Good,Feature role with Damien Williams opted out of season.
7,Michael Thomas,NO,WR,4,13,3.19,1,High,Very consistent.  Projections on par with top RBs.
8,Davante Adams,GB,WR,3,12,3.25,1,High,Top target for Aaron Rodgers.
9,Dalvin Cook,MIN,RB,6,11,1.85,1,Good,Injury concerns.  Handcuff is Mattison.
10,Tyreek Hill,KC,WR,8,15,2.58,1,Good,
11,Joe Mixon,CIN,RB,7,22,5.46,2,Low,"Feature back, but low receiving production."
12,Julio Jones,ATL,WR,9,15,2.24,1,Good,Low red-zone production.
13,Nick Chubb,CLE,RB,10,17,3.06,2,Low,Will have competition from Kareem Hunt
14,George Kittle,SF,TE,11,22,3.72,1,High,
15,Kenyan Drake,ARI,RB,9,22,4.26,2,Good,High volume and production once traded to Arizona last season.
16,Miles Sanders,PHI,RB,12,25,5,2,Good,Good offensive line.
17,Josh Jacobs,LV,RB,11,27,6.24,2,Moderate,
18,Travis Kelce,KC,TE,13,21,2.94,1,High,
19,Austin Ekeler,LAC,RB,12,25,5.31,2,Moderate,"Good production last year behind Melvin Gordon, who's now gone.  Step down at QB may hurt 3rd down role?"
20,Aaron Jones,GB,RB,16,26,3.63,2,Good,#2 fantasy RB last year.
21,DeAndre Hopkins,ARI,WR,14,31,6.47,1,Moderate,Working with new QB.  Should have lots of targets in aggressive offense.
22,Allen Robinson,CHI,WR,13,30,5.98,2,Good,QB position unsettled.
23,James Conner,PIT,RB,18,29,4.07,3,Good,Good production until injury halfway through last season.
24,Chris Godwin,TB,WR,20,47,10.71,2,Good,Sharing targets with Mike Evans.  Step up at QB with Brady.
25,Patrick Mahomes,KC,QB,18,32,5.19,1,Good,
26,Adam Thielen,MIN,WR,17,33,5.54,2,Good,"Run-heavy offense, but clear top WR with Stefon Diggs gone."
27,Kenny Golladay,DET,WR,25,36,3.52,2,High,Good red zone potential.  Stafford's top weapon.
28,Chris Carson,SEA,RB,26,41,5.49,2,Moderate,Good volume.  Competition from Rashaad Penny.
29,Lamar Jackson,BAL,QB,26,36,3.5,1,Good,
30,Melvin Gordon,DEN,RB,26,40,4.73,3,Good,"Will share carries with Philip Lindsay, but offense should run a lot."
31,Jonathan Taylor,IND,RB,19,50,9.98,3,Moderate,Rookie.  Some concerns with fumbles and receiving abaility.  Draft to stash on bench.
32,Mike Evans,TB,WR,20,59,13.25,2,Moderate,Sharing targets with Chris Godwin.  Step up at QB with Brady.  Good red zone potential.
33,D.J. Moore,CAR,WR,24,41,5.78,2,Good,New QB.
34,A.J. Brown,TEN,WR,20,44,8.42,2,Moderate,Boom-and-bust but best option in TEN
35,Odell Beckham Jr.,CLE,WR,23,68,16.76,2,Moderate,Frustrating last year with injuries and poor QB play
36,Mark Ingram II,BAL,RB,21,64,14.84,3,Low,Highly TD-dependent last season.  Now facing rookie JK Dobbins
37,JuJu Smith-Schuster,PIT,WR,29,50,6.83,2,Good,Bounce-back candidate with Roethlisberger returning
38,Todd Gurley,ATL,RB,30,62,11.07,3,Moderate,Injury concerns.
39,Mark Andrews,BAL,TE,34,49,5.14,2,,
40,Terry McLaurin,WAS,WR,23,74,17.5,3,Good,
41,Cooper Kupp,LAR,WR,31,53,7.4,2,Low,Saw dropoff in usage last quarter of the season
42,Amari Cooper,DAL,WR,36,54,7.89,2,Moderate,
43,Zach Ertz,PHI,TE,43,48,2.15,2,,
44,Raheem Mostert,SF,RB,38,57,6.79,3,Good,Limited receiving role.
45,David Johnson,HOU,RB,37,65,10.35,3,Moderate,"Top of the depth chart, but likely to cede 3rd downs to Duke Johnson."
46,Tyler Lockett,SEA,WR,31,67,13.84,2,Good,Top receiver in Seattle
47,Le'Veon Bell,NYJ,RB,35,72,12.58,3,Moderate,"High volume and improved offensive line, but low ceiling."
48,D'Andre Swift,DET,RB,42,55,4.62,3,Moderate,"Rookie out of Georgia.  Will play behind Kerryon Johnson, probably as 3rd down back."
49,Cam Akers,LAR,RB,28,69,14.13,3,Moderate,Rookie out of Florida State.  In open competition to replace Todd Gurley.
50,D.J. Chark,JAC,WR,27,83,19.65,3,Moderate,"Good production last year on a bad offense, which may improve"
51,Calvin Ridley,ATL,WR,36,82,16.18,2,Moderate,Good consistency
52,Kareem Hunt,CLE,RB,51,56,1.72,3,Good,Will split time with Nick Chubb.
53,Dak Prescott,DAL,QB,46,59,4.45,2,Moderate,
54,Russell Wilson,SEA,QB,52,68,5.71,2,Good,
55,D.K. Metcalf,SEA,WR,35,76,13.18,3,Good,Led league in red zone targets.  Boom-or-bust performances last year
56,Courtland Sutton,DEN,WR,39,91,19.47,2,Moderate,"More competition this year, but good after the catch"
57,Ronald Jones II,TB,RB,43,76,11.41,3,Low,Now competing with Leonard Fournette
58,Tyler Higbee,LAR,TE,49,76,10.97,3,,
59,Kyler Murray,ARI,QB,57,65,2.71,2,Good,
60,Keenan Allen,LAC,WR,40,87,19.65,3,Low,New QB
61,Robert Woods,LAR,WR,45,72,9.88,2,Moderate,"Good yardage, low TDs"
62,Deshaun Watson,HOU,QB,64,71,2.28,2,Moderate,
63,T.Y. Hilton,IND,WR,46,93,15.61,3,Good,Should bounce back with Rivers
64,Marquise Brown,BAL,WR,39,102,20.53,4,Good,Boom-and-bust but big-play potential
65,DeVante Parker,MIA,WR,64,87,8.12,3,Good,Big season last year after a history of injuries
66,Michael Gallup,DAL,WR,58,103,16.49,4,Good,"Competing with Amari Cooper and CeeDee Lamb, but a favorite target for Dak Prescott"
67,Matt Ryan,ATL,QB,62,83,7.28,3,,
68,Jordan Howard,MIA,RB,50,106,19.82,4,Good,In competition with Matt Breida.  Limited receiving role.
69,Jared Cook,NO,TE,59,97,15.55,3,,
70,J.K. Dobbins,BAL,RB,51,110,20.13,4,Good,Expected to take lead back role over Ingraham
71,Josh Allen,BUF,QB,60,104,16.5,3,,
72,Stefon Diggs,BUF,WR,62,95,11.99,4,Low,Likely to dropoff in move to Buffalo
73,Matt Breida,MIA,RB,70,94,8.26,4,Good,In competition with Jordan Howard.
74,Zack Moss,BUF,RB,61,100,12.51,4,Good,Rookie out of Utah.  Will compete with Devin Singletary.  Likely to get goal-line work.
75,Drew Brees,NO,QB,70,92,8.26,3,,
76,Tyler Boyd,CIN,WR,69,95,8.71,4,Moderate,Slot receiver with rookie QB Joe Burrow.  More competition this year with AJ Green returning
77,Hunter Henry,LAC,TE,59,115,25.48,3,,
78,Will Fuller,HOU,WR,66,107,13.64,4,Good,Role will increase with DeAndre Hopkins gone.  Long injury history.
79,Matthew Stafford,DET,QB,64,101,13.46,3,,
80,David Montgomery,CHI,RB,42,146,41.81,3,Moderate,Splits time with Tarik Cohen.
81,Jarvis Landry,CLE,WR,81,94,4.45,3,,
82,Carson Wentz,PHI,QB,72,110,15.47,3,,
83,A.J. Green,CIN,WR,61,119,19.03,4,Good,"Returning from injury and with rookie QB Joe Burrow, but high upside"
84,Diontae Johnson,PIT,WR,82,115,11.45,5,Good,Good rookie season last year without Roethlisburger.  Lot of competition
85,Marvin Jones,DET,WR,68,124,20.17,5,High,Similar number of targets as Golladay
86,Devin Singletary,BUF,RB,45,67,7.98,3,Moderate,Small size means limited goal line work.  Some injury concerns.
87,Julian Edelman,NE,WR,71,123,18.31,5,Good,Dropoff expected without Brady
88,Jamison Crowder,NYJ,WR,80,112,10.32,5,Moderate,"Slot receiver.  High targets, limited TDs"
89,Ben Roethlisberger,PIT,QB,81,115,11.53,3,,
90,Darren Waller,LV,TE,46,185,50.6,2,,
91,Tom Brady,TB,QB,87,137,18.8,3,,
92,Antonio Gibson,WAS,RB,58,145,27.53,4,Good,Rookie out of Memphis.  High upside.
93,Leonard Fournette,TB,RB,45,87,20.02,2,Good,Signed with TB
94,Hayden Hurst,ATL,TE,57,157,36.06,3,,
95,Evan Engram,NYG,TE,67,207,51.04,3,,
96,Latavius Murray,NO,RB,75,142,21.25,4,Moderate,Handcuff for Alvin Kamara
97,James White,NE,RB,51,88,13.65,4,Moderate,Less valuable with Tom Brady gone.
98,Sterling Shepard,NYG,WR,90,150,21.53,5,Good,High number of targets last year.  Competition from Tate and Slayton
99,John Brown,BUF,WR,93,132,12.56,5,Moderate,Run-first scheme.  Competition from Stefon Diggs
100,Jared Goff,LAR,QB,92,149,20.29,4,,
101,Damien Harris,NE,RB,69,153,27.65,6,Low,"Crowded backfield in NE, but most upside after James White."
102,Darius Slayton,NYG,WR,85,129,14.55,5,Good,More upside thanTate and Shepard
103,Daniel Jones,NYG,QB,82,145,21.29,3,,
104,Aaron Rodgers,GB,QB,87,146,22.01,3,,
105,Phillip Lindsay,DEN,RB,58,94,13.8,4,Moderate,Role reduced by addition of Melvin Gordon.
106,Brandin Cooks,HOU,WR,93,136,14.82,5,Good,"New team, taking place of DeAndre Hopkins.  Will compete with Will Fuller and Randall Cobb for targets"
107,Baker Mayfield,CLE,QB,99,142,14.46,4,,
108,Tevin Coleman,SF,RB,63,111,17.84,4,Low,3rd down back.  Competing with Raheem Mostert and Jerick McKinnon
109,Christian Kirk,ARI,WR,103,131,9.91,5,Moderate,Likely dropoff with arrival of DeAndre Hopkins
110,Mike Williams,LAC,WR,101,135,13.06,6,Moderate,Dropoff in QB
111,Emmanuel Sanders,NO,WR,100,133,12.6,5,Good,Older but consistent.  Moving to better offense in NO
112,Anthony Miller,CHI,WR,97,151,17.29,7,Moderate,Slot receiver.  Low upside but little serious competition
113,Tarik Cohen,CHI,RB,52,119,24.42,4,Good,Splits time with David Montgomery.
114,Joe Burrow,CIN,QB,86,197,39.65,,,
115,Rob Gronkowski,TB,TE,77,211,46.06,3,,
116,Cam Newton,NE,QB,95,186,31.96,4,,
117,Ryan Tannehill,TEN,QB,102,139,15.5,4,,
118,San Francisco 49ers,SF,DST,120,149,11.09,1,,
119,Deebo Samuel,SF,WR,116,162,16.23,4,Moderate,Slot receiver.  Recovering from foot injury
120,Mike Gesicki,MIA,TE,71,167,38.58,5,,
121,CeeDee Lamb,DAL,WR,73,184,42.16,6,Good,Rookie out of Oklahoma.  Behind Cooper and Gallup.
122,Curtis Samuel,CAR,WR,120,144,8.98,5,Moderate,Likely losing targets to Robby Anderson
123,Marlon Mack,IND,RB,79,143,23.44,5,Moderate,Expected to share carries with Jonathan Taylor
124,Blake Jarwin,DAL,TE,85,231,52.85,,,
125,Adrian Peterson,DET,RB,69,172,40.35,6,Moderate,Signed with Lions
126,Austin Hooper,CLE,TE,90,229,47.4,5,,
127,Golden Tate,NYG,WR,118,171,19.91,5,Moderate,Now in NYG.  Competition from Slayton and Shepard.  Expect yards but not TDs
128,Duke Johnson,HOU,RB,114,205,34.2,5,Moderate,3rd down back with low ceiling.  Behind David Johnson.
129,Mecole Hardman,KC,WR,126,161,12.18,6,Moderate,"Good upside, but low on depth chart.  Probably limited use early in season"
130,Tony Pollard,DAL,RB,117,159,16.83,4,Low,Handcuff for Ezekiel Elliott.
131,T.J. Hockenson,DET,TE,83,232,48.58,3,,
132,Darrell Henderson,LAR,RB,81,161,32.76,4,Low,Likely behind Cam Akers.
133,Noah Fant,DEN,TE,109,236,47.58,3,,
134,Dallas Goedert,PHI,TE,113,131,7.28,,,
135,Kerryon Johnson,DET,RB,109,146,14.77,4,Moderate,Injury history.  Facing competition from D'Andre Swift.
136,Chris Herndon IV,NYJ,TE,92,175,33.86,5,,
137,Alexander Mattison,MIN,RB,109,140,14.77,4,Moderate,Handcuff for Dalvin Cook
138,Preston Williams,MIA,WR,110,189,27.34,5,,
139,Kirk Cousins,MIN,QB,118,134,7.09,,,
140,Baltimore Ravens,BAL,DST,118,140,7.82,1,,
141,Chicago Bears,CHI,DST,141,169,10.7,2,,
142,Pittsburgh Steelers,PIT,DST,123,147,8.97,1,,
143,Jonnu Smith,TEN,TE,104,220,49.15,,,
144,Jimmy Garoppolo,SF,QB,101,162,22.26,4,,
145,Justin Jefferson,MIN,WR,89,183,35.24,6,Good,Rookie.  Effectively replacing Stefon Diggs
146,Jerry Jeudy,DEN,WR,101,181,28.54,6,High,Rookie from Alabama.  Expected to have every-down role immediately.  QB Lock unproven
147,DeSean Jackson,PHI,WR,98,223,52.39,6,Moderate,"Potential, but long injury history"
148,Sam Darnold,NYJ,QB,110,178,31,,,
149,Chase Edmonds,ARI,RB,75,188,43.21,6,Moderate,Primary backup to Kenyan Drake
150,Breshad Perriman,NYJ,WR,106,174,24.26,6,Good,Role likely to increase
151,Jalen Reagor,PHI,WR,121,187,25.82,6,Good,Rookie.  Could have large role if Alshon Jeffery is injured
152,Boston Scott,PHI,RB,116,184,26.87,6,Moderate,Receiving back.  Behind Miles Sanders
153,Brandon Aiyuk,SF,WR,125,199,32.94,7,Moderate,Likely low usage in SF offense
154,Teddy Bridgewater,CAR,QB,126,157,12.75,,,
