"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","1","10","1.8","2.0","0"
"2",1,"Christian McCaffrey",SF,"RB1","2","13","3.0","2.0","0"
"3",1,"Ja'Marr Chase",CIN,"WR2","1","12","3.5","2.2","0"
"4",1,"Travis Kelce",KC,"TE1","5","11","5.2","1.0","+2"
"5",1,"Nick Chubb",CLE,"RB2","1","16","5.9","2.2","+6"
"6",2,"Tyreek Hill",MIA,"WR3","3","14","7.9","2.1","+2"
"7",2,"Austin Ekeler",LAC,"RB3","2","27","8.4","6.4","-3"
"8",2,"Bijan Robinson",ATL,"RB4","2","20","8.8","3.9","+1"
"9",2,"Cooper Kupp",LAR,"WR4","1","19","9.4","3.5","-4"
"10",2,"Derrick Henry",TEN,"RB5","4","30","11.3","5.7","+11"
"11",3,"Stefon Diggs",BUF,"WR5","9","19","12.1","2.2","-1"
"12",3,"A.J. Brown",PHI,"WR6","3","22","13.1","3.0","0"
"13",3,"CeeDee Lamb",DAL,"WR7","7","20","13.7","2.7","0"
"14",3,"Jonathan Taylor",IND,"RB6","4","40","14.4","8.1","+2"
"15",3,"Saquon Barkley",NYG,"RB7","4","17","14.7","3.1","-8"
"16",3,"Tony Pollard",DAL,"RB8","2","30","15.1","4.6","+2"
"17",3,"Davante Adams",LV,"WR8","7","23","15.3","3.8","-2"
"18",3,"Amon-Ra St. Brown",DET,"WR9","9","42","17.6","4.4","+2"
"19",3,"Garrett Wilson",NYJ,"WR10","11","31","18.8","3.7","-2"
"20",3,"Josh Jacobs",LV,"RB9","8","48","19.7","7.8","+5"
"21",3,"Jaylen Waddle",MIA,"WR11","14","29","20.7","2.7","+2"
"22",4,"Patrick Mahomes II",KC,"QB1","24","38","26.3","3.2","-8"
"23",4,"Chris Olave",NO,"WR12","19","42","26.9","5.5","+4"
"24",4,"Josh Allen",BUF,"QB2","24","38","27.1","3.8","-5"
"25",4,"Jalen Hurts",PHI,"QB3","24","38","27.1","3.5","-3"
"26",4,"Tee Higgins",CIN,"WR13","19","47","28.0","6.0","+5"
"27",4,"Rhamondre Stevenson",NE,"RB10","13","48","28.4","7.8","-3"
"28",4,"Najee Harris",PIT,"RB11","13","48","30.4","8.4","-2"
"29",4,"Amari Cooper",CLE,"WR14","22","62","32.1","8.0","+15"
"30",4,"Travis Etienne Jr.",JAC,"RB12","13","63","32.9","9.8","0"
"31",4,"Joe Mixon",CIN,"RB13","17","61","33.9","10.2","+7"
"32",5,"DeVonta Smith",PHI,"WR15","22","55","34.4","5.5","-3"
"33",5,"Deebo Samuel",SF,"WR16","21","66","35.1","10.2","+7"
"34",5,"Breece Hall",NYJ,"RB14","16","68","35.3","11.3","0"
"35",5,"DK Metcalf",SEA,"WR17","21","62","35.6","7.0","+1"
"36",5,"Mark Andrews",BAL,"TE2","18","72","37.6","11.1","-8"
"37",5,"Lamar Jackson",BAL,"QB4","24","82","39.2","8.6","-5"
"38",5,"Aaron Jones",GB,"RB15","16","61","41.0","9.4","+5"
"39",5,"Joe Burrow",CIN,"QB5","29","70","42.1","7.0","-6"
"40",5,"Kenneth Walker III",SEA,"RB16","20","69","42.5","10.2","-3"
"41",5,"Calvin Ridley",JAC,"WR18","18","67","43.0","11.2","-2"
"42",5,"Justin Fields",CHI,"QB6","29","82","44.1","8.7","+3"
"43",5,"Jahmyr Gibbs",DET,"RB17","19","69","44.3","12.8","-8"
"44",5,"DJ Moore",CHI,"WR19","22","67","45.2","9.8","+11"
"45",5,"Miles Sanders",CAR,"RB18","21","71","45.7","11.2","+5"
"46",5,"Justin Herbert",LAC,"QB7","29","70","46.4","7.6","-4"
"47",5,"Keenan Allen",LAC,"WR20","26","67","47.3","6.8","-1"
"48",5,"Jerry Jeudy",DEN,"WR21","28","67","47.7","8.4","+4"
"49",6,"Christian Watson",GB,"WR22","22","76","48.9","11.1","+7"
"50",6,"Cam Akers",LAR,"RB19","23","71","49.5","9.8","+8"
"51",6,"Terry McLaurin",WAS,"WR23","37","67","49.6","6.5","-3"
"52",6,"J.K. Dobbins",BAL,"RB20","27","78","49.8","11.3","+1"
"53",6,"DeAndre Hopkins",TEN,"WR24","26","94","52.8","11.3","-4"
