"Rank","Tier","Running Backs","Team","Bye","Num Experts","ECR","ADP"
"1","undefined","De'Von Achane","MIA","10","27","41","41"
"2","undefined","Tank Bigsby","JAC","9","25","51","50"
"3","undefined","Roschon Johnson","CHI","13","21","53","51"
"4","undefined","Kendre Miller","NO","11","17","50","49"
"5","undefined","Jaylen Warren","PIT","6","12","46","52"
"6","undefined","D'Onta Foreman","CHI","13","7","49","45"
"7","undefined","Ezekiel Elliott","NE","11","7","64","48"
"8","undefined","Clyde Edwards-Helaire","KC","10","7","57","54"
"9","undefined","Jerome Ford","CLE","5","9","56","64"
"10","undefined","Pierre Strong Jr.","NE","11","5","63","70"
"11","undefined","Leonard Fournette","FA","","4","66","60"
"12","undefined","Kenneth Gainwell","PHI","10","5","52","59"
"13","undefined","Raheem Mostert","MIA","10","4","48","47"
"14","undefined","Ty Chandler","MIN","13","4","77","69"
"15","undefined","Gus Edwards","BAL","13","5","55","58"
"16","undefined","Israel Abanikanda","NYJ","7","3","71","75"
"17","undefined","Chase Brown","CIN","7","3","65","65"
"18","undefined","Kareem Hunt","FA","","3","68","55"
"19","undefined","Chuba Hubbard","CAR","7","4","54","53"
"20","undefined","Malik Davis","DAL","7","4","83","83"
"21","undefined","Tyjae Spears","TEN","7","5","62","63"
"22","undefined","Zamir White","LV","13","5","58","61"
"23","undefined","Zach Evans","LAR","10","1","69","68"
"24","undefined","Ronald Jones II","DAL","7","1","88",""
"25","undefined","Kyren Williams","LAR","10","2","70","73"
"26","undefined","Keaontay Ingram","ARI","14","2","87","79"
"27","undefined","Deneric Prince","KC","10","2","102","74"
"28","undefined","Chris Evans","CIN","7","1","91","100"
"29","undefined","Sean Tucker","TB","5","1","84","78"
"30","undefined","Evan Hull","IND","11","1","78","77"
"31","undefined","Joshua Kelley","LAC","5","2","61","67"
"32","undefined","Chris Rodriguez Jr.","WAS","14","2","106",""
"33","undefined","Cordarrelle Patterson","ATL","11","1","59","57"
"34","undefined","Chase Edmonds","TB","5","1","67","71"
"35","undefined","Michael Carter","NYJ","7","1","60","62"
"36","undefined","Jordan Mason","SF","9","1","80","94"
"37","undefined","Deuce Vaughn","DAL","7","1","86","66"
"38","undefined","Tyrion Davis-Price","SF","9","1","90","99"
"39","undefined","Zonovan Knight","NYJ","7","1","73",""
""
""
