Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Christian McCaffrey,CAR,RB,1,1,0.00,
2,Saquon Barkley,NYG,RB,2,2,0.00,
3,Ezekiel Elliott,DAL,RB,3,5,0.80,
4,Alvin Kamara,NO,RB,3,6,1.02,
5,Derrick Henry,TEN,RB,5,7,0.75,
6,Clyde Edwards-Helaire,KC,RB,4,10,1.94,
7,Michael Thomas,NO,WR,4,13,3.19,
8,Davante Adams,GB,WR,3,12,3.25,
9,Dalvin Cook,MIN,RB,6,11,1.85,
10,Tyreek Hill,KC,WR,8,15,2.58,
11,Joe Mixon,CIN,RB,7,22,5.46,
12,Julio Jones,ATL,WR,9,15,2.24,
13,Nick Chubb,CLE,RB,10,17,3.06,
14,George Kittle,SF,TE,11,22,3.72,
15,Kenyan Drake,ARI,RB,9,22,4.26,
16,Miles Sanders,PHI,RB,12,25,5.00,
17,Josh Jacobs,LV,RB,11,27,6.24,
18,Travis Kelce,KC,TE,13,21,2.94,
19,Austin Ekeler,LAC,RB,12,25,5.31,
20,Aaron Jones,GB,RB,16,26,3.63,
21,DeAndre Hopkins,ARI,WR,14,31,6.47,
22,Allen Robinson,CHI,WR,13,30,5.98,
23,James Conner,PIT,RB,18,29,4.07,
24,Chris Godwin,TB,WR,20,47,10.71,
25,Patrick Mahomes,KC,QB,18,32,5.19,
26,Adam Thielen,MIN,WR,17,33,5.54,
27,Kenny Golladay,DET,WR,25,36,3.52,
28,Chris Carson,SEA,RB,26,41,5.49,
29,Lamar Jackson,BAL,QB,26,36,3.50,
30,Melvin Gordon,DEN,RB,26,40,4.73,
31,Jonathan Taylor,IND,RB,19,50,9.98,
32,Mike Evans,TB,WR,20,59,13.25,
33,D.J. Moore,CAR,WR,24,41,5.78,
34,A.J. Brown,TEN,WR,20,44,8.42,
35,Odell Beckham Jr.,CLE,WR,23,68,16.76,
36,Mark Ingram II,BAL,RB,21,64,14.84,
37,JuJu Smith-Schuster,PIT,WR,29,50,6.83,
38,Todd Gurley,ATL,RB,30,62,11.07,
39,Mark Andrews,BAL,TE,34,49,5.14,
40,Terry McLaurin,WAS,WR,23,74,17.50,
41,Cooper Kupp,LAR,WR,31,53,7.40,
42,Amari Cooper,DAL,WR,36,54,7.89,
43,Zach Ertz,PHI,TE,43,48,2.15,
44,Raheem Mostert,SF,RB,38,57,6.79,
45,David Johnson,HOU,RB,37,65,10.35,
46,Tyler Lockett,SEA,WR,31,67,13.84,
47,Le'Veon Bell,NYJ,RB,35,72,12.58,
48,D'Andre Swift,DET,RB,42,55,4.62,
49,Cam Akers,LAR,RB,28,69,14.13,
50,D.J. Chark,JAC,WR,27,83,19.65,
51,Calvin Ridley,ATL,WR,36,82,16.18,
52,Kareem Hunt,CLE,RB,51,56,1.72,
53,Dak Prescott,DAL,QB,46,59,4.45,
54,Russell Wilson,SEA,QB,52,68,5.71,
55,D.K. Metcalf,SEA,WR,35,76,13.18,
56,Courtland Sutton,DEN,WR,39,91,19.47,
57,Ronald Jones II,TB,RB,43,76,11.41,
58,Tyler Higbee,LAR,TE,49,76,10.97,
59,Kyler Murray,ARI,QB,57,65,2.71,
60,Keenan Allen,LAC,WR,40,87,19.65,
61,Robert Woods,LAR,WR,45,72,9.88,
