Team,WR #1,WR #2,WR #3,WR #4,WR #5
Bears,Allen Robinson,Anthony Miller,Ted Ginn,Javon Wims,Cordarrelle Patterson
Bengals,A.J. Green,Tyler Boyd,Tee Higgins,John Ross,Auden Tate
Bills,Stefon Diggs,John Brown,Cole Beasley,Gabriel Davis,Andre Roberts
Broncos,Courtland Sutton,Jerry Jeudy,Tim Patrick,KJ Hamler,DaeSean Hamilton
Browns,Odell Beckham,Jarvis Landry,Rashard Higgins,Donovan Peoples-Jones,Damion Ratley
Cardinals,DeAndre Hopkins,Christian Kirk,Larry Fitzgerald,Andy Isabella,KeeSean Johnson
Cowboys,Amari Cooper,Michael Gallup,CeeDee Lamb,Cedrick Wilson,Jon'Vea Johnson
Falcons,Julio Jones,Calvin Ridley,Russell Gage,Laquon Treadwell,Olamide Zaccheaus
Panthers,D.J. Moore,Robby Anderson,Curtis Samuel,Seth Roberts,Keith Kirkwood
Ravens,Marquise Brown,Willie Snead,Miles Boykin,Devin Duvernay,James Proche
